project_id,smell_id,smell_type,refactoring_type,alignment_confidence
apache-lucene,SMELL_a0c28d2a,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_25be4f3b,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_f78ee6ff,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_20f5d42a,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_26914e51,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_cf6a70e2,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_f7a78e0f,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_c423c467,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_b1d0d2cd,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_0537356f,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_bdf39d2e,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_f1511bdd,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_0806df6b,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_3e1b325a,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_297bb670,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_414a2ef2,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_03b31859,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_2fc1cc07,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_5df7e2ec,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_9d5d327b,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_66125521,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_a82fb14b,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_69a5512a,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_bcbdb54b,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_6430426f,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_aa2b5dab,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_453af4ff,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_6956f466,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_1939fbd2,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_594c6094,God Component,Extract Class,0.6
apache-lucene,SMELL_cec69113,God Component,Extract Class,0.455
apache-lucene,SMELL_97d67ef4,God Component,Extract Class,0.6
apache-lucene,SMELL_4b7d31d3,God Component,Extract Class,0.525
apache-lucene,SMELL_e575f6c1,God Component,Extract Class,0.6
apache-lucene,SMELL_bc8352c9,God Component,Extract Class,0.42
apache-lucene,SMELL_f49b0912,God Component,Extract Class,0.5075
apache-lucene,SMELL_c4462d89,God Component,Extract Class,0.4725
apache-lucene,SMELL_08d8c702,God Component,Extract Class,0.6
apache-lucene,SMELL_768f6b3f,God Component,Extract Class,0.6
apache-lucene,SMELL_2f10b0c0,God Component,Extract Class,0.6
apache-lucene,SMELL_fc38dc1e,God Component,Extract Class,0.6
apache-lucene,SMELL_e433aaf8,God Component,Extract Class,0.6
apache-lucene,SMELL_fe580adc,God Component,Extract Class,0.5075
apache-lucene,SMELL_efc828be,God Component,Extract Class,0.6
apache-lucene,SMELL_a430ace4,God Component,Extract Class,0.49
apache-lucene,SMELL_067f3b7d,God Component,Extract Class,0.6
apache-lucene,SMELL_6124f2a2,God Component,Extract Class,0.4375
apache-lucene,SMELL_0ba0c899,God Component,Extract Class,0.6
apache-lucene,SMELL_dc6f5a05,God Component,Extract Class,0.4725
apache-lucene,SMELL_12c51bc9,God Component,Extract Class,0.6
apache-lucene,SMELL_575c0ea7,God Component,Extract Class,0.5425
apache-lucene,SMELL_04402592,God Component,Extract Class,0.6
apache-lucene,SMELL_f0f2a4b3,God Component,Extract Class,0.6
apache-lucene,SMELL_e857359b,God Component,Extract Class,0.6
apache-lucene,SMELL_df7f5c7d,God Component,Extract Class,0.6
apache-lucene,SMELL_3483fcba,God Component,Extract Class,0.6
