Project,Package,Class,Method,Smell,Description,Method start line no,File
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Complex Conditional,The conditional expression data.id == FndStructureConstants.CanRevise.ObjectDeclarationWithRefCountFNDX || data.id == FndStructureConstants.CanRevise.ObjectDeclaration2RefCountFND || data.id == FndStructureConstants.CanRevise.ReadOnlyObjectDeclaration2RefCountFND is complex.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Complex Method,Cyclomatic complexity of the method is 52,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Method,The method has 280 lines of code.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "LOG.debug("{}Start Node {} ({}) - Offset={}` End={}"`getIndent()`FndStructureConstants.nameOf(data.id)`data.id`offset`end);" is 123.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "else if (data.id == FndStructureConstants.ObjectSpaceManifestRootFND || data.id == FndStructureConstants.ObjectSpaceManifestListStartFND) {" is 139.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "else if (data.id == FndStructureConstants.RevisionManifestStart6FND || data.id == FndStructureConstants.RevisionManifestStart7FND) {" is 132.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "document.revisionMap.get(document.currentRevision).globalId.put(data.subType.globalIdTableEntryFNDX.index`data.subType.globalIdTableEntryFNDX.guid);" is 148.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "GUID compactId=document.revisionMap.get(dependentRevision).globalId.get(data.subType.globalIdTableEntry2FNDX.indexMapFrom);" is 123.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "document.revisionMap.get(document.currentRevision).globalId.put(data.subType.globalIdTableEntry2FNDX.indexMapTo`compactId);" is 123.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "document.revisionMap.get(document.currentRevision).globalId.put(data.subType.globalIdTableEntry3FNDX.indexCopyToStart + i`compactId);" is 133.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "else if (data.id == FndStructureConstants.CanRevise.ObjectRevisionWithRefCountFNDX || data.id == FndStructureConstants.CanRevise.ObjectRevisionWithRefCount2FNDX) {" is 163.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "else if (data.id == FndStructureConstants.RevisionRoleDeclarationFND || data.id == FndStructureConstants.RevisionRoleAndContextDeclarationFND) {" is 144.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "else if (data.id == FndStructureConstants.CanRevise.ObjectDeclarationWithRefCountFNDX || data.id == FndStructureConstants.CanRevise.ObjectDeclarationWithRefCount2FNDX || data.id == FndStructureConstants.CanRevise.ObjectDeclaration2RefCountFND || data.id == FndStructureConstants.CanRevise.ObjectDeclaration2LargeRefCountFND || data.id == FndStructureConstants.CanRevise.ReadOnlyObjectDeclaration2RefCountFND || data.id == FndStructureConstants.CanRevise.ReadOnlyObjectDeclaration2LargeRefCountFND) {" is 499.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "if (data.id == FndStructureConstants.CanRevise.ObjectDeclarationWithRefCountFNDX || data.id == FndStructureConstants.CanRevise.ObjectDeclarationWithRefCount2FNDX) {" is 164.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "if (data.id == FndStructureConstants.CanRevise.ObjectDeclarationWithRefCountFNDX || data.id == FndStructureConstants.CanRevise.ObjectDeclaration2RefCountFND || data.id == FndStructureConstants.CanRevise.ReadOnlyObjectDeclaration2RefCountFND) {" is 243.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "if (data.id == FndStructureConstants.CanRevise.ReadOnlyObjectDeclaration2RefCountFND || data.id == FndStructureConstants.CanRevise.ReadOnlyObjectDeclaration2LargeRefCountFND) {" is 176.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "else if (data.id == FndStructureConstants.CanRevise.ObjectDeclarationFileData3RefCountFND || data.id == FndStructureConstants.CanRevise.ObjectDeclarationFileData3LargeRefCountFND) {" is 181.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "if (dataSpaceBufferBytes.length == (IFNDF_GUID_LENGTH * 2 + IFNDF.length) && Arrays.equals(IFNDF`Arrays.copyOfRange(dataSpaceBufferBytes`0`IFNDF.length))) {" is 156.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "GUID guid=GUID.fromCurlyBraceUTF16Bytes(Arrays.copyOfRange(dataSpaceBufferBytes`IFNDF.length`dataSpaceBufferBytes.length));" is 123.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "LOG.debug("No fnd needed to be parsed for data.id=0x" + Long.toHexString(data.id) + " ("+ FndStructureConstants.nameOf(data.id)+ ")");" is 134.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "LOG.debug("{}End Node {} ({}) - Offset={}` End={}"`getIndent()`FndStructureConstants.nameOf(data.id)`(int)data.id`offset`end);" is 126.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Long Statement,The length of the statement "LOG.debug("{}End Node {} ({}) {}:[{}] - Offset={}` End={}"`getIndent()`FndStructureConstants.nameOf(data.id)`(int)data.id`data.idDesc`data.gosid`offset`end);" is 157.,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 0x3ff,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 10,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 0x1fff,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 23,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 0x3,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 25,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 0x3,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 27,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 0xf,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 31,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 2,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 2,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 2,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 2,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 2,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 16,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 2,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 2,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileNode,Magic Number,The method contains a magic number: 2,351,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeObjectDeclarationWithRefCountBody,Complex Conditional,The conditional expression reserved != 0 || must_be_zeroA != 0 || must_be_zero != 0 is complex.,722,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeObjectDeclarationWithRefCountBody,Magic Number,The method contains a magic number: 0x3ffL,722,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeObjectDeclarationWithRefCountBody,Magic Number,The method contains a magic number: 10,722,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeObjectDeclarationWithRefCountBody,Magic Number,The method contains a magic number: 0xf,722,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeObjectDeclarationWithRefCountBody,Magic Number,The method contains a magic number: 14,722,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeObjectDeclarationWithRefCountBody,Magic Number,The method contains a magic number: 0x3,722,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeObjectDeclarationWithRefCountBody,Magic Number,The method contains a magic number: 16,722,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeObjectDeclarationWithRefCountBody,Magic Number,The method contains a magic number: 17,722,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeObjectDeclarationWithRefCountBody,Magic Number,The method contains a magic number: 18L,722,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeObjectDeclaration2Body,Magic Number,The method contains a magic number: 0x2,744,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileDataStoreObject,Magic Number,The method contains a magic number: 16,756,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeFileDataStoreObject,Magic Number,The method contains a magic number: 0x7,756,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeObjectInfoDependencyOverrideData,Long Identifier,The length of the identifier objectInfoDependencyOverrideData is 32.,794,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeVarFileChunkReference,Complex Method,Cyclomatic complexity of the method is 9,843,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeVarFileChunkReference,Magic Number,The method contains a magic number: 2,843,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeVarFileChunkReference,Magic Number,The method contains a magic number: 3,843,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeVarFileChunkReference,Magic Number,The method contains a magic number: 3,843,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeVarFileChunkReference,Magic Number,The method contains a magic number: 3,843,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeVarFileChunkReference,Magic Number,The method contains a magic number: 2,843,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeVarFileChunkReference,Magic Number,The method contains a magic number: 3,843,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeVarFileChunkReference,Magic Number,The method contains a magic number: 3,843,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializeVarFileChunkReference,Magic Number,The method contains a magic number: 3,843,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,postprocessObjectDeclarationContents,Long Statement,The length of the statement "data.propertySet=objectSpacePropSetPtr.deserializePropertySet(streamCounters`data.subType.objectDeclarationWithRefCount.objectRef);" is 131.,943,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializePropertyValueFromPropertyID,Complex Conditional,The conditional expression type == 0x8 || type == 0xa || type == 0xc is complex.,1001,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializePropertyValueFromPropertyID,Complex Method,Cyclomatic complexity of the method is 25,1001,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializePropertyValueFromPropertyID,Long Method,The method has 106 lines of code.,1001,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializePropertyValueFromPropertyID,Magic Number,The method contains a magic number: 0x2,1001,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
tika,org.apache.tika.parser.microsoft.onenote,OneNotePtr,deserializePropertyValueFromPropertyID,Magic Number,The method contains a magic number: 0x3,1001,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/OneNotePtr.java
