project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.25,false,PACKAGE,2,7,0.8823529411764706,false,283,4,0.0032890560675564286,0,PACKAGE,.,.,org.apache.tika.parser.multiple,multiple,4505,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,12,1.0,false,329,7,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.strings,strings,16811,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.2222222222222222,false,PACKAGE,6,7,0.4230769230769231,false,142,10,0.005398037660408377,0,PACKAGE,.,.,org.apache.tika.renderer,renderer,12716,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.10810810810810811,false,PACKAGE,41,14,0.3017241379310345,false,1691,45,0.02181302919961942,0,PACKAGE,/data/tika/tika-core/src/main/java/org/apache/tika/detect/package-info.java,tika-core/src/main/java/org/apache/tika/detect/package-info.java,org.apache.tika.detect,detect,12804,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,8,1.0,false,96,4,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.pipes.fetcher.gcs,gcs,4626,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.3333333333333333,false,PACKAGE,6,11,0.5909090909090909,false,142,9,0.00440463164677316,0,PACKAGE,.,.,org.apache.tika.parser.ner,ner,21030,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,4,0.8,false,30,1,8.947849376492485E-4,0,PACKAGE,.,.,org.apache.tika.server.standard.writer,writer,16941,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,1,0.5,false,21,1,9.606919676915852E-4,0,PACKAGE,.,.,org.apache.tika.pipes.fetcher.gcs.config,config,4692,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,7,1.0,false,97,3,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.pipes.fetcher.googledrive,googledrive,4701,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,6,1.0,false,75,2,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.ner.nltk,nltk,21098,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,1,1.0,false,77,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.ner.corenlp,corenlp,21106,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,9,1.0,false,66,2,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.http,http,8819,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,6,0.7777777777777778,false,76,2,0.001208780047279058,0,PACKAGE,.,.,org.apache.tika.parser.ner.regex,regex,21114,container
