,,versionIndex,versionDate,project,versionId,from,fromId,to,toId
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101120,affects,cyclicDep,101114,org.apache.tika.detect.zip,889
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101123,affects,cyclicDep,101114,org.apache.tika.config,23922
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101122,affects,cyclicDep,101114,org.apache.tika.detect,12804
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101124,affects,cyclicDep,101114,org.apache.tika.config.loader,27547
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101129,affects,cyclicDep,101126,org.apache.tika.metadata.writefilter,21343
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101131,affects,cyclicDep,101126,org.apache.tika.io,23890
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101130,affects,cyclicDep,101126,org.apache.tika.metadata,22184
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101137,affects,cyclicDep,101133,org.apache.tika.metadata,22184
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101136,affects,cyclicDep,101133,org.apache.tika.metadata.writefilter,21343
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101143,affects,cyclicDep,101139,org.apache.tika.metadata.writefilter,21343
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101142,affects,cyclicDep,101139,org.apache.tika.mime,15151
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101145,affects,cyclicDep,101139,org.apache.tika.io,23890
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101144,affects,cyclicDep,101139,org.apache.tika.metadata,22184
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101147,affects,cyclicDep,101139,org.apache.tika.detect.microsoft.ooxml,7852
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101146,affects,cyclicDep,101139,org.apache.tika.detect.zip,889
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101149,affects,cyclicDep,101139,org.apache.tika.config,23922
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101148,affects,cyclicDep,101139,org.apache.tika.detect,12804
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101151,affects,cyclicDep,101139,org.apache.tika,15836
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101150,affects,cyclicDep,101139,org.apache.tika.config.loader,27547
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101157,affects,cyclicDep,101153,org.apache.tika.metadata.writefilter,21343
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101156,affects,cyclicDep,101153,org.apache.tika.mime,15151
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101159,affects,cyclicDep,101153,org.apache.tika.io,23890
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101158,affects,cyclicDep,101153,org.apache.tika.metadata,22184
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101161,affects,cyclicDep,101153,org.apache.tika.detect.microsoft.ooxml,7852
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101160,affects,cyclicDep,101153,org.apache.tika.detect.zip,889
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101163,affects,cyclicDep,101153,org.apache.tika.config,23922
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101162,affects,cyclicDep,101153,org.apache.tika.detect,12804
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101169,affects,cyclicDep,101165,org.apache.tika.metadata.writefilter,21343
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101168,affects,cyclicDep,101165,org.apache.tika.mime,15151
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101171,affects,cyclicDep,101165,org.apache.tika.io,23890
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101170,affects,cyclicDep,101165,org.apache.tika.metadata,22184
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101173,affects,cyclicDep,101165,org.apache.tika.detect.microsoft.ooxml,7852
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101172,affects,cyclicDep,101165,org.apache.tika.detect.zip,889
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101175,affects,cyclicDep,101165,org.apache.tika.config,23922
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101174,affects,cyclicDep,101165,org.apache.tika.detect,12804
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101176,affects,cyclicDep,101165,org.apache.tika.config.loader,27547
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101181,affects,cyclicDep,101178,org.apache.tika.mime,15151
