Project,Package,Class,Smell,Description,File
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (getIntValues) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getPrimaryProperty; org.apache.tika.metadata.Property.getPropertyType,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (getIntValues) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getPrimaryProperty; org.apache.tika.metadata.Property.getPropertyType,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (getIntValues) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (getIntValues) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (getLongValues) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getPrimaryProperty; org.apache.tika.metadata.Property.getPropertyType,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (getLongValues) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getPrimaryProperty; org.apache.tika.metadata.Property.getPropertyType,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (getLongValues) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (getLongValues) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (set) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (set) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (set) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (set) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getPrimaryProperty; org.apache.tika.metadata.Property.getPropertyType,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (set) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getPrimaryProperty; org.apache.tika.metadata.Property.getPropertyType,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (set) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (set) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (set) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getPrimaryProperty; org.apache.tika.metadata.Property.getPropertyType,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (set) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getPrimaryProperty; org.apache.tika.metadata.Property.getPropertyType,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (set) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (set) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (add) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
tika,org.apache.tika.metadata,Metadata,Law of Demeter violation,The tool detected the smell in this method (add) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.metadata.Property.getValueType; org.apache.tika.metadata.Property.getPrimaryProperty,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-core/src/main/java/org/apache/tika/metadata/Metadata.java
